#filename,amp,shutter,mjd,chip,axis1,axis2,exptime,xc,yc,back,backrms,f2,f2err,f3,f3err,f8,f8err,f10,f10err,f12,f12err,f15,f15err,f20,f20err,f25,f25err,f30,f30err,f50,f50err,f60,f60err,m2,m2err,m3,m3err,m8,m8err,m10,m10err,m12,m12err,m15,m15err,m20,m20err,m25,m25err,m30,m30err,m50,m50err,m60,m60err
iaau01k3q,A,B,55008.1944976,1,512,513,3.9,221.120259902,228.929054977,0.103919,3.09895,31794.870606,179.660646233,43760.0846739,210.340585415,68190.661834,275.535654708,70468.2718198,287.30680777,72084.8661234,299.124798841,74302.7702709,313.007273101,77425.5337207,354.588851496,79521.9820941,386.115395611,80582.4671,435.057279953,82095.7606052,619.692673738,82079.9869373,718.922433854,13.1858688628,0.00613487521407,12.8390661334,0.00521860904262,12.3574492536,0.00438695053356,12.3217774653,0.00442651697197,12.297151277,0.00450524238397,12.2642490023,0.00457361138982,12.2195509981,0.00497222424657,12.1905435267,0.00527156735755,12.1761601187,0.00586159379136,12.1559596903,0.00819531155954,12.1561683209,0.00950943239102
iaau01kpq,A,B,55008.2397409,1,512,513,3.9,223.629045171,231.501334546,0.0797451,3.13058,33449.2761541,184.614119862,45244.1549178,214.189757029,68738.30042,280.834210863,70599.8323475,293.985135343,72134.2168014,308.100166077,74200.8116193,324.380285207,77501.1779042,375.247768447,79694.9183209,413.353239326,80839.5434081,472.531893636,83031.844467,691.89416159,83229.90487,808.094854117,13.1307947075,0.00599222383798,12.8028553157,0.00513979804968,12.348764543,0.00443568870442,12.3197523432,0.00452096911322,12.2964082156,0.00463724935464,12.2657398784,0.00474630489834,12.2184907596,0.0052567781964,12.1881849429,0.00563119482888,12.1727018878,0.00634624906688,12.143649804,0.00904700474932,12.141063022,0.010541266201
iaau11h8q,A,B,55012.2878428,1,512,513,3.9,190.323590481,233.029735974,0.215068,3.13312,47413.4653493,218.330021913,56790.6217203,238.84127541,68945.4934004,270.218473296,70410.3542432,277.080642102,71923.7287496,284.757653185,74055.4870265,294.15575785,77299.5198537,320.550825599,79423.0558533,340.699024132,80530.3982083,371.214695385,82130.08035,491.134686175,82426.4604668,558.127465649,12.7520072722,0.00499944273309,12.5560699596,0.00456607032743,12.3454968078,0.00425519032482,12.3226701943,0.00427247464331,12.2995810314,0.00429846157086,12.2678684115,0.00431250835179,12.2213195268,0.00450225346821,12.1918950355,0.0046572991498,12.1768619011,0.00500466660722,12.1555058983,0.00649244377344,12.1515948903,0.00735151049824
iaau11hsq,A,B,55012.3027732,1,512,513,3.9,192.897773851,235.734254984,0.297895,3.1399,47362.6213443,218.072903007,56823.6429779,238.781935371,69114.9832132,268.711179739,70679.999871,274.789450139,72241.6007458,281.417322279,74325.1222833,289.465778073,77551.4829214,311.236969315,79771.4340727,328.0058966,80989.8960379,352.779073031,83081.6432868,451.456193007,83740.1462644,507.536067276,12.7531721902,0.00499891568656,12.555438835,0.004562283121,12.3428310004,0.00422107789483,12.3185201675,0.0042209805682,12.294793116,0.00422934685339,12.2639224366,0.00422835490341,12.2177862508,0.00435723425079,12.1871430187,0.00446420458749,12.1706844138,0.0047291360815,12.1429988227,0.00589957022222,12.1344272298,0.00658025968216
iaau21sgq,A,A,55020.7769284,1,512,513,3.9,205.942016551,237.724861492,0.175199,3.13938,44462.4328698,211.587075022,55251.1785427,235.707097876,69210.6386013,272.244665225,70766.4349194,280.058692205,72309.9256648,288.703297063,74553.8699477,299.299323122,77959.4477768,329.583361863,79948.6634279,352.288710733,81192.2610627,387.543786562,82956.8228525,524.039814187,83357.1680756,599.457145955,12.8217784613,0.00516661083354,12.585907652,0.00463170565613,12.3413293764,0.00427067339659,12.3171932245,0.00429666582007,12.2937667299,0.00433474611874,12.2605860382,0.00435858360326,12.2120896322,0.00458993317909,12.1847334984,0.00478406813627,12.1679749278,0.00518222160047,12.1446312407,0.00685838737188,12.1394041382,0.00780773433633
iaau21swq,A,A,55020.7918591,1,512,513,3.9,208.598917484,240.308903069,0.157124,3.14465,42709.2059344,207.481847596,53872.670715,232.835095857,68643.1526458,272.167836098,70230.82692,280.568361738,71768.4035325,289.811671337,73879.2217598,300.857554315,77319.1880095,333.572035341,79259.7027833,357.979479896,80324.9988425,395.872463093,82004.4972297,542.401110279,82289.3300601,622.775531657,12.8654577752,0.00527434395014,12.6133402525,0.00469234326452,12.3502684636,0.004304764689,12.3254420626,0.00433731288235,12.3019283036,0.00438422085603,12.2704557377,0.00442128434679,12.2210433063,0.00468394932867,12.194130419,0.00490360558613,12.1796346977,0.00535074683316,12.1571673418,0.0071811291493,12.153402701,0.00821670797692
iaau31uwq,A,A,55026.9790695,1,512,513,3.9,198.817538613,230.241268042,0.175717,3.123,45936.4427303,215.032798611,56492.3760415,238.317095043,68837.0567369,271.439946776,70379.2390177,279.187719499,71850.5101228,287.656623516,73873.7160589,297.832405412,77259.6896454,327.91136676,79387.9606745,350.672571488,80673.1925183,385.709846685,82528.5311232,521.240945874,82853.8156451,596.028010157,12.7863681154,0.00508226357061,12.5617869142,0.00458010245307,12.3472057852,0.00428115849492,12.3231501009,0.00430686820845,12.3006868779,0.00434664688696,12.270536653,0.00437715414638,12.2218791195,0.00460800933224,12.1923749028,0.00479575501914,12.174938408,0.00519088395381,12.150251229,0.00685715942394,12.1459802334,0.00781023306639
iaau31vcq,A,A,55026.9940002,1,512,513,3.9,201.478598402,232.920920284,0.261747,3.06736,44761.8228544,212.05552717,56454.5224602,238.034128244,69403.528404,269.620304103,70932.4593718,275.817970936,72384.9107698,282.472946892,74469.1456125,290.774155148,77736.2503977,313.542063007,79715.4022208,330.665423115,80955.136623,356.711340017,82784.7818951,459.741367377,83034.0108393,517.866184196,12.8144921071,0.00514341622317,12.5625146722,0.00457773162844,12.3383076423,0.0042177504645,12.3146489726,0.00422170010313,12.2926414091,0.00423680674851,12.2618205896,0.00423925234603,12.215202546,0.00437907174665,12.1879059132,0.00450356442889,12.1711504924,0.00478390276407,12.1468852452,0.00602938355498,12.1436214766,0.0067712893849
iaau41q2q,A,B,55034.8282595,1,512,513,3.9,209.660188149,237.100645561,0.128369,3.13587,46068.5571237,215.580337461,55825.4800919,237.132462703,68901.3298818,274.595204429,70389.2474642,283.808680031,71958.7149427,294.255682823,74166.7278173,306.719157919,77370.9972474,343.516338525,79508.6730718,371.50967793,80781.2361417,414.975072396,82791.7409255,580.297101353,83251.1410946,670.032416656,12.7832499919,0.00508059264266,12.574680351,0.00461177788947,12.3461925065,0.00432688329761,12.3229957122,0.00437753058897,12.2990530201,0.00443967621011,12.2662387209,0.00448995121603,12.2203160311,0.00482035519775,12.1907252537,0.00507300702861,12.1734852811,0.00557726592981,12.1467939802,0.007609799672,12.1407860302,0.00873806875436
iaau41qlq,A,B,55034.8431898,1,512,513,3.9,212.250259935,239.465555358,0.0964167,3.14274,46607.4618856,217.118706224,56694.1984265,239.222217056,69342.5706108,279.055015933,70919.7232451,290.252460647,72501.2634734,302.806553617,74724.7534957,317.561361192,77956.7434441,362.303483436,79905.4354002,395.812603588,81089.3274782,448.363955372,83240.6724403,645.298275298,83818.6956802,750.721207689,12.7706228848,0.00505768325093,12.5579149691,0.00458113119624,12.339261674,0.00436917795417,12.3148439372,0.0044434338165,12.2908975799,0.00453450132469,12.2581002899,0.00461395125065,12.2121272959,0.0050457840411,12.1853207118,0.00537802893587,12.1693522711,0.00600311732118,12.1409225678,0.00841656268446,12.1334092716,0.00972405987201
iaau51tyq,A,B,55041.6914539,1,512,513,3.9,213.863450661,236.526637765,0.207145,3.14634,46745.2890657,216.819283698,56460.1384652,238.17105446,68838.7878522,270.340140067,70378.307867,277.508785091,71957.4617116,285.497319671,74213.0226352,295.319057613,77600.3768231,322.694357817,79452.9845889,343.013142459,80742.8900663,374.750919264,82557.842929,498.375652823,82919.3271753,567.186717817,12.7674168932,0.00503581646441,12.5624066703,0.00457990931047,12.3471784814,0.00426370508877,12.3231644658,0.00428102489396,12.2990719294,0.00430760664139,12.2655612166,0.00432037248269,12.2171019421,0.00451478818305,12.1914859781,0.00468716651356,12.1740007919,0.00503904520523,12.1498656746,0.00655402838874,12.1451220939,0.00742643048986
iaau51v8q,A,B,55041.7392317,1,512,513,3.9,216.408212995,239.14112439,0.166522,3.13744,45720.8676697,214.572821994,55285.3421905,235.809182305,68173.4660382,270.746224979,69694.2744614,278.765100369,71302.8911932,287.82895767,73648.9923014,298.931058068,76860.7207306,330.035676285,78898.2163205,353.650515399,80176.5756813,390.279305349,81240.9601576,530.691650792,81456.4680945,608.294262759,12.7914753585,0.00509530384511,12.5852365125,0.00463084823363,12.3577230808,0.00431178277331,12.3337687643,0.00434261310287,12.3089936676,0.00438265397256,12.273844495,0.00440670591141,12.2275003861,0.00466193564588,12.1990935549,0.00486650246958,12.1816427583,0.0052849131834,12.1673238987,0.00709213584068,12.1644475791,0.00810770582774
iaau61hvq,A,B,55047.1975187,1,512,513,3.9,255.013051572,296.742191807,0.125885,3.13067,47071.7216436,217.9084252,56304.1283826,238.1522381,68614.0148855,274.24765625,70155.4704211,283.662605326,71731.1163174,294.238136519,73819.1457664,306.634623152,77186.8929823,344.126293589,79232.941944,372.307400681,80283.9193418,416.010755263,81954.5776226,582.82043427,82711.4822007,673.673213667,12.7598613104,0.0050260149614,12.5654109182,0.00459223670329,12.3507294365,0.00433950237262,12.3266076648,0.00438985710956,12.3024925435,0.00445349746691,12.2713389795,0.00450984913059,12.2229026187,0.00484043213185,12.1944970633,0.00510159202728,12.1801901027,0.00562581997357,12.1578284767,0.00772096158437,12.1478470088,0.00884287149278
iaau61ibq,A,B,55047.2124491,1,512,513,3.9,257.632102281,299.289307808,0.214225,3.11507,47574.8689953,218.69464301,57006.7973265,239.289103832,68946.634732,270.159732215,70425.305511,277.014896106,71856.3898607,284.509391342,73961.9275185,293.825362996,77072.3144479,319.875136674,79067.3824106,339.741369302,80248.4286551,370.210687362,81808.6283641,489.49699407,82264.437776,556.322330403,12.7483175149,0.00499080247472,12.5519449106,0.00455728425757,12.3454788345,0.00425419489153,12.3224396684,0.00427055403622,12.3005980325,0.00429873873123,12.2692409657,0.00431311361544,12.2245155154,0.00450600761603,12.1967681141,0.00466509948104,12.1806701745,0.00500866808242,12.1597637396,0.00649622047318,12.1537311827,0.00734216595223
iaaua1ldq,C,B,55008.2610257,2,512,513,3.9,214.409861817,238.993968206,0.168126,2.46093,32182.719438,179.945956709,44487.4473867,211.388919493,67430.5858177,265.698762102,69794.9194238,273.387301952,71535.5679156,280.459216707,73826.055302,288.997616415,76990.6021235,311.084219951,79062.5386369,327.947794502,80221.2362939,353.174904682,81833.0116785,453.293997091,82253.0041084,510.1941906,13.1727046696,0.00607056608671,12.8211677991,0.00515886982453,12.3696191858,0.00427801631138,12.332201992,0.00425269627331,12.3054564442,0.00425654790269,12.2712373584,0.00425005387134,12.2256672272,0.00438682291456,12.1968346298,0.00450343394773,12.181038141,0.00477980659147,12.1594401808,0.00601397018816,12.1538820962,0.00673431735094
iaaua1m0q,C,A,55008.3017202,2,512,513,3.9,216.774375087,241.543719466,0.178541,2.45776,35650.9127438,189.308814317,47068.0327319,217.382030458,67967.083,266.378891711,69956.4397676,273.183639016,71700.0266019,280.051684941,74015.6353677,288.39979655,77126.7449189,309.545131366,79175.4425855,325.716320024,80269.3673262,349.750075128,81991.8543621,445.884935631,82452.3772927,500.674912688,13.0615848844,0.00576514214885,12.7599464006,0.00501426672776,12.3610149392,0.00425511218027,12.3296922696,0.00423971657027,12.3029632256,0.00424061368942,12.2684528386,0.00423039885504,12.2237490109,0.00435741388383,12.1952852682,0.0044664127803,12.1803869177,0.00473061728546,12.1573347458,0.00590421180714,12.1512535629,0.00659268744643
iaaub1i9q,C,B,55012.3250535,2,512,513,3.9,176.751699944,235.476555684,0.17815,2.4535,48226.9836326,220.030945826,58262.1273305,241.761785275,68951.3756092,268.211691445,70476.0491313,274.120204195,71956.6744755,280.491497317,74082.2116876,288.49133892,77036.3769574,309.353722821,79104.1596225,325.544746524,80213.7685239,349.580181749,82277.9391587,446.0088223,82879.2969511,500.848716423,12.7335362683,0.00495340118519,12.5282956725,0.00450516969255,12.3454041802,0.00422322877287,12.3216576434,0.00422288577982,12.2990838077,0.00423212468971,12.2674766688,0.00422793865802,12.2250218936,0.00435982778697,12.1962632148,0.00446808275301,12.1811392165,0.004731596711,12.1535530044,0.00588531729553,12.1456463716,0.00656100463474
iaaub1jeq,C,B,55012.3650302,2,512,513,3.9,178.83813008,237.459131136,0.149006,2.44837,49218.4044963,222.344165676,59029.6769913,243.409532486,69259.604665,269.733166086,70631.1942864,275.851920662,72188.1805159,282.939970691,74402.8279426,291.73700506,77546.3865777,315.275653933,79612.8482914,333.287014878,80580.3647927,360.205712627,82306.6411116,467.850229527,82629.9541905,528.489466931,12.7114426897,0.00490465026538,12.5140855006,0.00447689607821,12.3405614969,0.00422828429119,12.3192701433,0.00424022888595,12.2955962784,0.00425537704349,12.2627879107,0.0042570810163,12.217857603,0.00441406482728,12.1893036129,0.00454511702342,12.1761884447,0.00485323370284,12.1531743207,0.00617137313997,12.1489177376,0.00694398320642
iaauc1tfq,C,A,55020.8120095,2,512,513,3.9,201.744212114,242.001027414,0.217285,2.35696,45532.684719,213.721882847,56617.5000849,238.247473383,68739.8858667,266.551349054,70334.5829165,271.925624258,71800.7175159,277.484455603,73828.1168745,284.432211273,76859.0072652,302.150386584,78889.4013201,315.716682582,80078.0486106,335.497702701,81732.4007662,414.676326866,82300.3103778,460.676621943,12.7959533722,0.00509607218723,12.559384794,0.00456864540935,12.3487395008,0.00420999825674,12.3238392265,0.00419750339044,12.301439557,0.00419584767215,12.2712070399,0.00418279735218,12.2275245909,0.00426813572522,12.1992148669,0.00434498927033,12.1829778139,0.00454868546552,12.1607758779,0.00550839182329,12.1532578349,0.00607721412164
iaauc1tvq,C,A,55020.8269398,2,512,513,3.9,204.269699064,244.496488622,0.226097,2.45568,46568.8896997,216.14861866,57192.2672944,239.465243706,68869.8108396,267.00408465,70543.09304,272.628839741,72111.2887849,278.494833237,74293.1869957,285.847221054,77448.2491198,304.272598165,79352.2677863,318.032390183,80164.5483102,337.957200363,82159.2076732,420.409310241,82886.1785464,468.068651391,12.7715218087,0.00503925596663,12.5484182331,0.00454584907,12.3466892922,0.00420919313078,12.3206252729,0.00419591938135,12.296753374,0.00419298899715,12.2643890453,0.00417729189509,12.2192325074,0.00426541288644,12.1928631604,0.00435132826892,12.1818056429,0.00457708725576,12.1551209117,0.00555553541783,12.145556225,0.00613108414126
iaaud1vsq,C,A,55027.0427965,2,512,513,3.9,247.05505916,289.518966724,0.163189,2.45349,47528.9920904,218.474256578,57840.441333,240.920007533,69071.8882854,268.89408219,70620.8532879,275.083752177,72146.5729246,281.813566059,74258.5751684,290.098261489,77224.1153659,312.129756769,79203.9198001,329.079279446,80219.8315867,354.502169811,81947.5947389,456.292702476,82459.2090319,514.069096802,12.7493650059,0.00499058553389,12.5361825225,0.00452221397609,12.3435081953,0.00422658642004,12.3194291158,0.00422904023151,12.2962222519,0.00424088042255,12.2648949876,0.00424139140543,12.2223791626,0.0043882571567,12.1948948292,0.0045109052001,12.1810571528,0.00479785357499,12.15792099,0.0060452901474,12.151163606,0.0067684959018
